	ref	query	key	label	roc	optimal threshold
0	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Astrocyte	1.0	0.2
1	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Endothelial	0.98989898989899	0.18
2	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	L2/3-6 IT	0.9695833333333334	0.09
3	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	L5 ET	1.0	0.81
4	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	LAMP5	0.979591836734694	0.11
5	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Microglia	1.0	0.48
6	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	OPC	1.0	0.42
7	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Oligodendrocyte	1.0	0.29
8	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	PVALB	0.98989898989899	0.51
9	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	SST	0.7708333333333334	0.04
10	Human_Multiple_Cortical_Areas_SMART-seq	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	VIP	0.8847926267281105	0.26
