	ref	query	key	label	roc	optimal threshold
0	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Astrocyte	0.9911111111111112	0.1
1	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Endothelial	0.98989898989899	0.14
2	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	L2/3-6 IT	0.99625	0.11
3	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	L5 ET	1.0	0.67
4	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	LAMP5	0.9948979591836735	0.22
5	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Microglia	1.0	0.59
6	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	OPC	1.0	0.65
7	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	Oligodendrocyte	1.0	0.26
8	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	PVALB	0.9343434343434343	0.06
9	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	SST	0.890625	0.08
10	Dissection:_Angular_gyrus_AnG	Frontal_cortex_samples_from_C9-ALS,_C9-ALS_FTD_and_age_matched_control_brains_processed	rachel_subclass	VIP	0.9032258064516129	0.25
